n,Selection,Insertion ,Merge,Heap,Quick,Couting
1000,0.003000,0.000250,0.000000,0.001250,0.000750,0.000000
2000,0.013250,0.004000,0.003750,0.000750,0.000000,0.000000
3000,0.026250,0.014750,0.000750,0.000000,0.002750,0.001750
4000,0.043750,0.041250,0.002500,0.000500,0.000500,0.000000
5000,0.089750,0.039250,0.002250,0.004000,0.000500,0.000000
6000,0.098750,0.051250,0.006000,0.002750,0.000250,0.001500
7000,0.131500,0.073750,0.003750,0.005000,0.002500,0.001750
8000,0.164750,0.092250,0.003000,0.007000,0.002000,0.001000
9000,0.216000,0.114000,0.006250,0.004500,0.002250,0.001500
10000,0.263000,0.143750,0.005500,0.005750,0.003000,0.001750
