n,Selection,Insertion ,Merge,Heap,Quick,Couting
1000,0.003250,0.003000,0.000250,0.000000,0.000000,0.000000
2000,0.008750,0.005250,0.002000,0.000000,0.000000,0.000000
3000,0.018500,0.013500,0.001750,0.002250,0.000000,0.000000
4000,0.028250,0.019000,0.000500,0.001250,0.000000,0.000000
5000,0.042250,0.030500,0.003500,0.001250,0.001250,0.000000
6000,0.054000,0.047750,0.001250,0.001250,0.002000,0.000000
7000,0.071500,0.048250,0.003000,0.000750,0.001000,0.000000
8000,0.084250,0.065000,0.002500,0.002500,0.001250,0.000000
9000,0.116000,0.089500,0.002500,0.003750,0.000000,0.002000
10000,0.141500,0.126500,0.005250,0.003250,0.000000,0.001500
