n,Selection,Insertion ,Merge,Heap,Quick,Couting
1000,0.002000,0.003750,0.000000,0.000000,0.001000,0.000000
2000,0.006500,0.006000,0.001250,0.000000,0.009000,0.000000
3000,0.013750,0.012750,0.000000,0.000000,0.014750,0.000000
4000,0.021000,0.022000,0.001500,0.000000,0.025750,0.000000
5000,0.032750,0.037000,0.001750,0.001250,0.040750,0.000000
6000,0.048750,0.048500,0.003000,0.001000,0.053500,0.000000
7000,0.084250,0.082000,0.003750,0.001000,0.103750,0.000000
8000,0.145000,0.151250,0.003750,0.001500,0.131250,0.000250
9000,0.163000,0.150750,0.001750,0.004500,0.157500,0.000500
10000,0.226750,0.264000,0.004750,0.004250,0.325000,0.000000
