n,Selection,Insertion ,Merge,Heap,Quick,Couting
1000,0.003750,0.000000,0.002750,0.000250,0.007000,0.000500
2000,0.013250,0.000750,0.000750,0.004250,0.019500,0.000000
3000,0.018500,0.000000,0.002500,0.001000,0.037000,0.000500
4000,0.040000,0.000000,0.002500,0.002250,0.066250,0.001250
5000,0.051750,0.000000,0.002000,0.002250,0.084250,0.000500
6000,0.085000,0.000000,0.005750,0.002750,0.175250,0.000250
7000,0.140250,0.000000,0.005500,0.002500,0.204000,0.000500
8000,0.152250,0.000000,0.003000,0.005250,0.248500,0.004250
9000,0.225750,0.000000,0.006250,0.006500,0.452000,0.000000
10000,0.291500,0.000000,0.007000,0.005000,0.451250,0.000000
